Unnamed: 0,_time,etat_failed
460,2023-03-27 00:00:00+00:00,73
461,2023-03-28 00:00:00+00:00,53
462,2023-03-29 00:00:00+00:00,65
463,2023-03-30 00:00:00+00:00,45
464,2023-03-31 00:00:00+00:00,37
465,2023-04-01 00:00:00+00:00,29
466,2023-04-02 00:00:00+00:00,45
467,2023-04-03 00:00:00+00:00,85
468,2023-04-04 00:00:00+00:00,52
469,2023-04-05 00:00:00+00:00,46
470,2023-04-06 00:00:00+00:00,56
471,2023-04-07 00:00:00+00:00,53
472,2023-04-08 00:00:00+00:00,40
473,2023-04-09 00:00:00+00:00,79
474,2023-04-10 00:00:00+00:00,160
475,2023-04-11 00:00:00+00:00,69
476,2023-04-12 00:00:00+00:00,95
477,2023-04-13 00:00:00+00:00,90
478,2023-04-14 00:00:00+00:00,54
479,2023-04-15 00:00:00+00:00,54
480,2023-04-16 00:00:00+00:00,70
481,2023-04-17 00:00:00+00:00,91
482,2023-04-18 00:00:00+00:00,53
483,2023-04-19 00:00:00+00:00,62
484,2023-04-20 00:00:00+00:00,74
485,2023-04-21 00:00:00+00:00,48
486,2023-04-22 00:00:00+00:00,76
487,2023-04-23 00:00:00+00:00,104
488,2023-04-24 00:00:00+00:00,114
489,2023-04-25 00:00:00+00:00,96
490,2023-04-26 00:00:00+00:00,131
491,2023-04-27 00:00:00+00:00,136
492,2023-04-28 00:00:00+00:00,89
493,2023-04-29 00:00:00+00:00,48
494,2023-04-30 00:00:00+00:00,48
495,2023-05-01 00:00:00+00:00,46
496,2023-05-02 00:00:00+00:00,72
497,2023-05-03 00:00:00+00:00,90
498,2023-05-04 00:00:00+00:00,77
499,2023-05-05 00:00:00+00:00,62
500,2023-05-06 00:00:00+00:00,44
501,2023-05-07 00:00:00+00:00,47
502,2023-05-08 00:00:00+00:00,50
503,2023-05-09 00:00:00+00:00,67
504,2023-05-10 00:00:00+00:00,67
505,2023-05-11 00:00:00+00:00,68
506,2023-05-12 00:00:00+00:00,106
507,2023-05-13 00:00:00+00:00,44
508,2023-05-14 00:00:00+00:00,44
509,2023-05-15 00:00:00+00:00,61
510,2023-05-16 00:00:00+00:00,74
511,2023-05-17 00:00:00+00:00,70
512,2023-05-18 00:00:00+00:00,58
